client_id	path	sentence	up_votes	down_votes	age	gender	accent
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914816.mp3	Ливия останется единой.	0	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914828.mp3	Я хотел бы заверить Вас в поддержке моей делегацией Вашего председательства.	0	1	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914844.mp3	Желает ли кто-либо из делегаций сделать заявление до принятия доклада?	1	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914846.mp3	Подходит ко мне сегодня какой-то дяденька.	1	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914861.mp3	Первым я предоставляю слово представителю Дании, который выступит от имени Европейского союза.	1	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914865.mp3	Ты бы лучше сбегала к колодцу за водой.	1	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914867.mp3	С ними необходимо разобраться незамедлительно.	0	0	twenties	female	
8a127fc948673d60d84fe655fe2065747e0f45e96a5150470517a71b4e44b29ca53460963a85dd976c691fd1a25a17ad70e601d68c4542bfc7403ced29f7574f	common_voice_ru_18914870.mp3	– Это ко мне, – сказала женщина.	0	0	twenties	female	
58e865b48ed93238e489ac7e4c68a8eb270a4c111410ce6f9a106f818401e102c804d59329a02177cb3e1da5d422c9c9914a0ab6e520d23a9898e50812a14b16	common_voice_ru_18914872.mp3	Я присоединяюсь к заявлению, которое будет сделано от имени Европейского союза.	1	0			
8213a0f79acb074bf5427027efa90e01391d8709700f103d434a0831e9232e7c83551fff5f5e2bf4e65128b0432eeec7292ecbfaa0c624ea2b3d38450e844c22	common_voice_ru_18914884.mp3	Никакая идеология не может устанавливаться в качестве государственной или обязательной.	0	0	twenties	female	
8213a0f79acb074bf5427027efa90e01391d8709700f103d434a0831e9232e7c83551fff5f5e2bf4e65128b0432eeec7292ecbfaa0c624ea2b3d38450e844c22	common_voice_ru_18914885.mp3	Это Тимки Гараева дядя.	0	0	twenties	female	
8213a0f79acb074bf5427027efa90e01391d8709700f103d434a0831e9232e7c83551fff5f5e2bf4e65128b0432eeec7292ecbfaa0c624ea2b3d38450e844c22	common_voice_ru_18914908.mp3	За ответом приду завтра в такое же время.	1	0	twenties	female	
8213a0f79acb074bf5427027efa90e01391d8709700f103d434a0831e9232e7c83551fff5f5e2bf4e65128b0432eeec7292ecbfaa0c624ea2b3d38450e844c22	common_voice_ru_18914909.mp3	Неподалеку скрипело колодезное колесо.	1	0	twenties	female	
